time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,4.2,3.2,5.9,,,194.0,12.3,,1012.8,
2021-01-02,5.0,2.7,8.1,0.0,,90.0,11.7,,1018.9,
2021-01-03,4.1,2.6,5.5,4.3,,87.0,11.1,,1016.5,
2021-01-04,5.4,3.9,6.6,8.3,,37.0,8.9,,1014.0,
2021-01-05,5.5,4.0,6.6,11.4,,233.0,12.8,,1009.1,
2021-01-06,4.2,1.5,5.6,2.6,,126.0,10.2,,1014.0,
2021-01-07,2.8,-0.8,4.8,3.2,,206.0,13.5,,1013.2,
2021-01-08,-1.7,-3.5,-0.4,0.0,,306.0,6.3,,1016.4,
2021-01-09,-4.2,-6.1,-3.1,0.0,,186.0,9.4,,1021.3,
2021-01-10,-2.3,-3.6,-1.6,0.0,,29.0,7.9,,1024.1,
2021-01-11,-0.9,-2.4,0.8,0.0,,5.0,11.3,,1021.1,
2021-01-12,-0.5,-1.9,2.1,0.0,,186.0,7.9,,1016.0,
2021-01-13,-1.0,-2.5,0.8,4.6,,212.0,11.6,,1009.6,
2021-01-14,-1.4,-2.5,0.7,0.4,,239.0,11.0,,1008.0,
2021-01-15,-2.4,-7.1,9.9,0.6,,334.0,9.6,,1016.4,
2021-01-16,-5.5,-7.2,-3.0,0.7,,230.0,9.6,,1019.0,
2021-01-17,-6.2,-9.3,-4.0,0.1,,35.0,8.0,,1018.3,
2021-01-18,-6.9,-8.3,-5.3,0.0,,353.0,7.2,,1023.4,
2021-01-19,-4.6,-7.5,-1.1,0.3,,132.0,8.4,,1022.4,
2021-01-20,0.4,-1.1,2.2,4.0,,153.0,9.5,,1018.2,
2021-01-21,6.2,1.5,9.0,0.0,,163.0,17.7,,1015.5,
2021-01-22,8.8,6.3,11.4,2.1,,178.0,20.5,,1009.8,
2021-01-23,8.1,5.1,12.8,0.1,,111.0,12.8,,1003.3,
2021-01-24,6.7,2.9,9.9,5.8,,164.0,13.4,,998.8,
2021-01-25,1.7,0.1,3.5,16.7,,298.0,13.5,,997.8,
2021-01-26,0.8,-0.5,2.4,0.1,,275.0,6.3,,1010.0,
2021-01-27,-0.5,-3.7,3.0,0.2,,320.0,8.7,,1013.5,
2021-01-28,-0.3,-3.4,2.3,0.7,,237.0,12.6,,1010.7,
2021-01-29,0.1,-0.6,0.7,6.9,,164.0,9.9,,1001.7,
2021-01-30,3.3,-0.1,9.0,1.3,,237.0,16.4,,997.9,
2021-01-31,-0.9,-3.7,1.0,0.0,,0.0,17.0,,1005.2,
2021-02-01,-2.5,-4.2,-0.4,1.5,,34.0,10.1,,1004.0,
2021-02-02,0.9,-0.3,4.4,0.0,,201.0,6.6,,1012.3,
2021-02-03,3.5,0.8,8.2,3.0,,188.0,9.5,,1012.5,
2021-02-04,9.7,6.3,13.3,2.2,,238.0,21.3,,1010.1,
2021-02-05,3.9,1.5,6.3,0.8,,15.0,8.7,,1018.3,
2021-02-06,1.5,-0.3,2.5,3.6,,3.0,14.4,,1015.0,
2021-02-07,-0.7,-1.6,0.8,1.0,,10.0,14.4,,1008.0,
2021-02-08,5.8,-0.1,9.9,13.3,,15.0,22.1,,996.4,
2021-02-09,1.7,-1.3,4.0,13.5,,38.0,10.8,,1003.1,
2021-02-10,1.9,-0.2,3.9,5.3,,21.0,8.2,,1005.6,
2021-02-11,-4.6,-10.0,1.0,14.4,,348.0,28.0,,1011.3,
2021-02-12,-9.3,-12.1,-6.1,0.0,,336.0,17.8,,1027.8,
2021-02-13,-6.6,-10.0,-3.9,0.0,,281.0,11.1,,1032.7,
2021-02-14,-2.4,-7.3,1.0,0.1,,318.0,12.3,,1034.4,
2021-02-15,-2.2,-5.5,0.9,0.0,,315.0,9.5,,1034.7,
2021-02-16,-2.0,-5.9,1.5,0.0,,199.0,7.7,,1029.0,
2021-02-17,-0.2,-1.3,2.0,2.7,,131.0,10.0,,1019.8,
2021-02-18,-0.4,-1.5,0.9,0.5,,12.0,14.9,,1022.0,
2021-02-19,1.4,-3.4,6.4,4.5,,111.0,9.4,,1024.7,
2021-02-20,2.5,-1.2,8.6,0.3,,47.0,7.0,,1027.3,
2021-02-21,2.2,-2.1,8.4,0.0,,139.0,7.6,,1030.9,
2021-02-22,3.6,-2.9,10.5,0.0,,70.0,7.3,,1030.6,
2021-02-23,4.7,-0.6,11.4,0.0,,27.0,8.1,,1033.6,
2021-02-24,7.5,1.4,14.0,0.0,,162.0,6.2,,1036.6,
2021-02-25,8.5,1.7,15.8,0.0,,112.0,6.8,,1034.3,
2021-02-26,9.2,2.1,16.2,0.0,,117.0,8.1,,1027.1,
2021-02-27,6.6,4.6,8.9,0.2,,344.0,21.0,,1027.6,
2021-02-28,6.6,3.7,10.2,0.0,,299.0,15.0,,1032.6,
2021-03-01,5.4,2.3,8.7,0.1,,345.0,16.7,,1032.6,
2021-03-02,5.3,-2.1,11.6,0.0,,243.0,10.2,,1034.7,
2021-03-03,7.0,-0.3,14.7,0.0,,179.0,7.7,,1030.5,
2021-03-04,7.8,4.1,12.5,0.0,,192.0,13.4,,1018.4,
2021-03-05,3.8,0.7,8.5,1.9,,295.0,16.4,,1015.2,
2021-03-06,1.3,-1.3,4.8,0.0,,336.0,14.9,,1029.8,
2021-03-07,1.6,-3.3,7.0,0.0,,196.0,15.5,,1025.3,
2021-03-08,1.4,-2.7,6.6,0.0,,0.0,12.3,,1018.1,
2021-03-09,0.3,-3.2,4.5,0.0,,349.0,12.3,,1021.3,
2021-03-10,-0.3,-3.9,4.1,0.0,,326.0,12.8,,1019.9,
2021-03-11,2.0,-4.9,7.2,0.0,,212.0,11.1,,1019.8,
2021-03-12,5.5,0.0,11.6,3.7,,225.0,16.7,,1012.4,
2021-03-13,6.2,-1.1,13.1,0.0,,214.0,13.7,,1013.1,
2021-03-14,7.9,5.7,10.9,1.6,,186.0,11.6,,1006.9,
2021-03-15,5.2,3.8,6.9,5.7,,355.0,23.1,,1004.8,
2021-03-16,5.6,3.0,8.1,1.3,,339.0,21.5,,1006.1,
2021-03-17,5.2,2.8,8.0,0.0,,337.0,26.3,,1010.3,
2021-03-18,3.9,1.6,6.5,0.0,,346.0,21.1,,1014.7,
2021-03-19,1.7,-1.5,6.1,0.0,,327.0,14.3,,1015.8,
2021-03-20,1.2,-3.6,9.9,0.2,,346.0,12.2,,1021.5,
2021-03-21,1.3,-4.5,7.1,0.0,,252.0,12.2,,1016.9,
2021-03-22,1.6,-1.0,6.3,0.4,,340.0,15.2,,1011.8,
2021-03-23,4.3,-0.2,8.6,0.5,,312.0,14.1,,1017.9,
2021-03-24,4.9,0.5,8.9,0.0,,19.0,14.6,,1020.6,
2021-03-25,5.2,-1.3,10.7,0.0,,338.0,11.1,,1022.1,
2021-03-26,7.7,-0.1,14.2,0.0,,246.0,7.1,,1024.0,
2021-03-27,10.7,3.1,17.3,0.0,,174.0,11.1,,1023.8,
2021-03-28,8.6,5.5,11.8,1.5,,355.0,13.5,,1028.9,
2021-03-29,8.0,-1.3,14.0,0.0,,72.0,7.2,,1032.6,
2021-03-30,11.3,7.6,14.5,0.0,,36.0,6.9,,1031.2,
2021-03-31,13.2,9.3,18.8,0.0,,273.0,6.4,,1026.3,
2021-04-01,15.6,9.8,23.2,11.1,,175.0,11.9,,1016.5,
2021-04-02,10.9,7.1,14.2,2.1,,347.0,14.6,,1011.5,
2021-04-03,7.8,4.8,12.3,0.0,,336.0,13.4,,1012.3,
2021-04-04,5.6,2.9,9.7,0.0,,341.0,18.0,,1017.5,
2021-04-05,6.3,-0.9,12.7,0.0,,211.0,17.7,,1011.5,
2021-04-06,3.6,-0.3,7.7,2.1,,330.0,16.2,,1004.8,
2021-04-07,2.6,-1.3,6.9,0.4,,349.0,9.2,,1009.6,
2021-04-08,2.1,-1.6,6.6,1.8,,239.0,12.0,,1020.1,
2021-04-09,4.5,-3.1,11.6,0.0,,189.0,13.1,,1027.6,
