time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,1.8,-0.8,4.4,0.3,0.0,255.0,7.2,20.5,1006.4,174.0
2021-01-02,1.8,0.2,2.9,0.0,0.0,139.0,2.5,11.2,1011.3,0.0
2021-01-03,2.1,-1.0,2.5,0.4,0.0,10.0,11.2,27.7,1011.5,0.0
2021-01-04,1.4,0.5,1.9,0.0,0.0,32.0,10.1,20.5,1012.5,0.0
2021-01-05,1.7,0.1,1.9,1.9,0.0,15.0,9.4,22.3,1013.0,0.0
2021-01-06,1.9,-0.4,2.5,2.2,0.0,348.0,8.6,24.1,1012.7,0.0
2021-01-07,1.5,-0.3,2.0,2.7,0.0,259.0,15.8,37.1,1010.5,0.0
2021-01-08,0.9,-0.3,2.2,1.0,0.0,292.0,11.9,37.1,1013.0,0.0
2021-01-09,0.7,-0.8,1.7,0.9,0.0,288.0,7.2,16.6,1020.9,0.0
2021-01-10,0.6,-1.8,3.1,0.0,0.0,251.0,4.7,16.6,1022.1,36.0
2021-01-11,1.1,-1.6,4.9,1.5,0.0,225.0,10.8,40.7,1017.1,0.0
2021-01-12,5.1,0.9,6.8,3.0,0.0,270.0,24.5,63.0,1007.4,0.0
2021-01-13,2.7,0.5,4.0,0.0,0.0,273.0,20.2,42.5,1013.7,114.0
2021-01-14,1.6,-1.0,3.3,0.0,0.0,42.0,10.8,33.5,1016.1,0.0
2021-01-15,0.1,-3.4,1.6,0.0,0.0,8.0,9.7,25.9,1024.2,0.0
2021-01-16,-0.1,-3.3,1.8,1.9,0.0,205.0,7.9,29.5,1022.0,0.0
2021-01-17,1.7,-0.2,4.3,6.6,20.0,237.0,10.4,31.3,1016.4,0.0
2021-01-18,4.6,2.2,5.4,0.0,0.0,248.0,18.4,50.0,1020.0,36.0
2021-01-19,6.0,4.2,8.3,1.9,0.0,224.0,19.4,64.8,1008.1,0.0
2021-01-20,8.2,5.2,9.8,2.0,0.0,203.0,13.7,44.3,997.9,24.0
2021-01-21,8.4,5.5,11.4,4.3,0.0,198.0,21.2,77.8,989.4,228.0
2021-01-22,4.7,-0.2,9.3,0.0,0.0,235.0,11.9,61.2,990.7,60.0
2021-01-23,3.3,0.4,5.7,11.1,0.0,191.0,7.9,24.1,992.6,258.0
2021-01-24,0.8,-3.2,2.2,0.6,70.0,259.0,16.6,57.2,995.4,114.0
2021-01-25,0.5,-1.4,2.5,0.4,50.0,263.0,11.2,48.2,1002.2,138.0
2021-01-26,2.4,0.9,3.5,0.1,30.0,258.0,25.9,59.4,1013.7,48.0
2021-01-27,3.1,1.2,5.9,4.0,0.0,226.0,11.9,37.1,1010.6,0.0
2021-01-28,6.4,3.8,10.7,30.1,0.0,244.0,10.8,51.8,1000.7,0.0
2021-01-29,8.7,6.7,9.6,15.4,0.0,253.0,26.6,72.4,994.2,72.0
2021-01-30,2.0,0.4,7.6,5.6,0.0,49.0,13.0,35.3,998.4,0.0
2021-01-31,0.0,-3.6,3.6,2.0,20.0,99.0,13.3,37.1,998.1,6.0
2021-02-01,3.4,2.0,6.3,0.7,0.0,142.0,10.8,31.3,992.2,0.0
2021-02-02,7.1,2.9,11.3,2.8,0.0,213.0,14.0,46.4,998.1,6.0
2021-02-03,10.1,7.5,12.4,10.3,0.0,220.0,18.0,64.8,995.5,78.0
2021-02-04,7.8,4.8,10.1,0.1,0.0,210.0,12.6,46.4,1009.9,384.0
2021-02-05,7.8,4.6,11.6,0.1,0.0,177.0,5.4,18.4,1009.0,72.0
2021-02-06,5.2,2.6,6.5,17.0,0.0,98.0,13.3,40.7,1004.5,0.0
2021-02-07,0.6,0.3,4.0,4.3,0.0,69.0,12.6,29.5,994.7,0.0
2021-02-08,-3.9,-5.0,-0.3,0.1,0.0,58.0,14.8,31.3,996.9,0.0
2021-02-09,-6.8,-8.0,-2.9,0.0,10.0,36.0,12.2,29.5,1004.1,372.0
2021-02-10,-6.4,-8.7,-1.2,0.0,0.0,40.0,13.3,38.2,1011.0,234.0
2021-02-11,-4.7,-7.6,-0.2,0.0,0.0,34.0,6.1,25.9,1026.2,510.0
2021-02-12,-5.0,-7.8,-0.9,0.0,0.0,90.0,15.5,46.4,1030.3,456.0
2021-02-13,-4.1,-7.6,1.0,0.0,0.0,106.0,14.8,40.7,1035.9,528.0
2021-02-14,-1.2,-5.8,5.7,0.0,0.0,129.0,14.8,42.5,1033.7,414.0
2021-02-15,3.2,0.3,7.4,1.8,0.0,172.0,13.0,38.9,1023.3,0.0
2021-02-16,8.0,4.2,12.0,0.3,0.0,206.0,11.2,33.5,1013.8,66.0
2021-02-17,9.2,6.0,11.1,0.0,0.0,230.0,16.9,50.0,1014.5,162.0
2021-02-18,6.8,5.1,10.2,0.6,0.0,177.0,13.7,63.0,1009.5,0.0
2021-02-19,7.3,2.3,10.6,0.0,0.0,199.0,13.0,38.9,1014.0,456.0
2021-02-20,11.2,7.9,15.9,0.0,0.0,174.0,15.1,38.9,1011.5,456.0
2021-02-21,12.9,6.2,16.4,0.0,0.0,166.0,11.2,38.9,1011.7,558.0
2021-02-22,11.0,4.4,17.8,0.0,0.0,171.0,9.4,33.5,1017.5,6.0
2021-02-23,14.4,9.9,18.3,0.0,0.0,193.0,9.4,33.5,1027.2,282.0
2021-02-24,14.4,10.3,18.8,0.0,0.0,189.0,11.9,31.3,1027.0,516.0
2021-02-25,12.9,9.7,18.9,1.5,0.0,216.0,8.6,25.9,1024.3,408.0
2021-02-26,7.7,4.0,10.4,0.5,0.0,326.0,11.5,31.3,1031.0,228.0
2021-02-27,4.4,1.5,8.2,0.0,0.0,7.0,6.5,24.1,1037.0,204.0
2021-02-28,5.4,2.1,10.7,0.0,0.0,77.0,5.4,25.9,1033.7,588.0
2021-03-01,4.7,-2.0,12.4,0.0,0.0,112.0,5.4,25.9,1030.0,594.0
2021-03-02,7.5,0.9,15.3,0.0,0.0,127.0,7.9,22.3,1027.9,594.0
2021-03-03,9.0,3.6,16.3,0.4,0.0,217.0,6.1,20.5,1024.9,456.0
2021-03-04,5.6,4.3,9.2,5.0,0.0,327.0,9.0,33.5,1018.3,0.0
2021-03-05,2.4,-2.4,5.4,0.0,0.0,12.0,12.2,42.5,1025.3,492.0
2021-03-06,0.6,-2.9,6.3,0.0,0.0,81.0,4.0,16.6,1030.0,612.0
2021-03-07,0.4,-4.3,6.3,0.0,0.0,332.0,6.5,24.1,1022.8,564.0
2021-03-08,2.6,-1.9,5.8,0.1,0.0,304.0,6.5,16.6,1020.3,0.0
2021-03-09,4.0,1.1,6.3,3.1,0.0,251.0,9.7,31.3,1016.2,0.0
2021-03-10,7.1,3.1,10.7,1.3,0.0,212.0,10.8,44.3,1013.3,48.0
2021-03-11,9.9,6.6,13.1,1.6,0.0,234.0,34.9,103.7,998.2,234.0
2021-03-12,7.1,4.3,9.4,2.0,0.0,244.0,27.7,70.2,1003.9,168.0
2021-03-13,7.9,4.6,9.3,1.7,0.0,239.0,33.3,87.1,994.9,150.0
2021-03-14,7.9,1.7,7.6,2.4,0.0,266.0,20.9,51.8,1007.7,84.0
2021-03-15,5.9,3.4,8.7,2.8,0.0,288.0,22.7,59.4,1011.4,186.0
2021-03-16,5.2,3.9,7.4,3.4,0.0,297.0,17.6,40.7,1020.6,24.0
2021-03-17,4.4,1.2,6.0,0.7,0.0,335.0,13.0,40.7,1022.7,66.0
2021-03-18,3.3,-0.8,6.6,1.2,0.0,301.0,11.9,29.5,1020.9,12.0
2021-03-19,3.6,-0.3,7.2,0.0,0.0,21.0,16.2,48.2,1021.0,462.0
2021-03-20,3.1,-3.0,6.0,0.2,0.0,339.0,8.3,24.1,1025.5,504.0
2021-03-21,5.6,2.7,8.0,0.1,0.0,307.0,18.0,40.7,1020.8,6.0
2021-03-22,5.1,2.6,7.0,0.3,0.0,314.0,11.5,25.9,1022.4,18.0
2021-03-23,7.3,2.0,10.3,0.0,0.0,255.0,8.6,29.5,1023.1,354.0
2021-03-24,8.7,1.6,15.5,0.0,0.0,225.0,6.5,20.5,1020.0,642.0
2021-03-25,8.6,4.2,13.0,0.0,0.0,256.0,9.7,35.3,1017.9,270.0
2021-03-26,10.6,5.1,14.7,0.2,0.0,199.0,13.3,46.4,1014.1,444.0
2021-03-27,6.9,4.4,9.7,2.3,0.0,250.0,27.7,77.8,1018.8,480.0
2021-03-28,10.2,4.4,13.8,0.0,0.0,224.0,16.9,53.6,1024.8,276.0
2021-03-29,13.7,6.6,18.8,0.0,0.0,230.0,13.7,38.9,1026.9,702.0
2021-03-30,13.2,1.0,20.2,0.0,0.0,141.0,7.2,18.4,1027.0,708.0
2021-03-31,15.4,6.2,23.2,0.0,0.0,152.0,7.6,16.6,1019.1,702.0
2021-04-01,13.7,6.8,19.6,0.0,0.0,296.0,12.6,37.1,1018.2,618.0
2021-04-02,5.7,2.3,9.5,0.0,0.0,347.0,14.8,40.7,1022.4,108.0
2021-04-03,7.1,3.8,10.3,0.0,0.0,343.0,13.3,31.3,1023.8,402.0
2021-04-04,5.0,3.0,7.9,0.0,0.0,300.0,7.9,20.5,1020.9,132.0
2021-04-05,3.4,0.9,6.0,2.6,0.0,280.0,26.6,59.4,1008.8,144.0
2021-04-06,1.2,0.0,4.6,2.5,0.0,285.0,27.7,57.2,1010.7,180.0
2021-04-07,1.4,-1.2,6.2,2.1,20.0,275.0,27.7,63.0,1015.1,30.0
2021-04-08,4.3,-1.2,6.9,0.0,0.0,241.0,13.7,38.9,1020.5,408.0
2021-04-09,8.5,2.5,14.1,5.1,0.0,212.0,12.2,40.7,1011.8,360.0
2021-04-10,8.7,5.8,11.8,6.3,0.0,165.0,7.9,37.1,1008.2,0.0
2021-04-11,5.1,3.0,10.7,8.5,0.0,298.0,12.6,33.5,1010.6,0.0
2021-04-12,2.7,-0.3,7.6,0.6,0.0,286.0,13.3,46.4,1024.5,378.0
2021-04-13,3.9,-1.8,8.6,0.0,0.0,310.0,7.9,37.1,1029.4,240.0
2021-04-14,3.7,-2.8,8.2,0.5,0.0,314.0,6.1,33.5,1028.0,372.0
2021-04-15,4.5,-3.1,9.1,0.0,0.0,353.0,7.6,35.3,1026.9,432.0
2021-04-16,5.5,-2.0,10.1,0.0,0.0,358.0,8.3,35.3,1024.3,66.0
2021-04-17,7.4,-0.7,10.8,0.0,0.0,349.0,9.7,31.3,1021.7,348.0
2021-04-18,8.8,3.9,12.2,0.5,0.0,315.0,11.2,31.3,1019.1,90.0
2021-04-19,8.9,6.0,12.8,0.7,0.0,329.0,7.2,25.9,1017.0,18.0
2021-04-20,9.7,2.3,15.3,0.0,0.0,262.0,5.4,20.5,1014.6,702.0
2021-04-21,10.4,4.6,15.5,0.0,0.0,313.0,11.5,40.7,1014.9,312.0
2021-04-22,6.7,0.1,10.5,0.0,0.0,352.0,9.7,31.3,1022.8,696.0
2021-04-23,7.5,-0.5,11.8,0.0,0.0,348.0,7.9,25.9,1025.7,762.0
2021-04-24,8.0,0.1,12.4,0.0,0.0,8.0,10.1,37.1,1023.6,744.0
2021-04-25,6.5,-0.1,10.6,0.0,0.0,19.0,11.2,42.5,1023.0,666.0
2021-04-26,7.7,-0.1,13.0,0.0,0.0,64.0,7.9,33.5,1015.9,768.0
2021-04-27,9.4,1.1,14.4,0.0,0.0,99.0,6.8,24.1,1006.9,804.0
2021-04-28,12.4,1.5,18.8,0.0,0.0,132.0,7.9,25.9,1000.3,576.0
2021-04-29,9.8,6.2,12.7,0.3,0.0,254.0,21.6,61.2,1003.1,204.0
2021-04-30,7.8,3.6,12.0,0.0,0.0,276.0,9.7,22.3,1010.3,132.0
2021-05-01,8.8,2.0,12.5,0.0,0.0,297.0,10.1,27.7,1011.2,384.0
2021-05-02,7.5,3.3,11.6,0.0,0.0,295.0,14.4,40.7,1015.7,174.0
2021-05-03,8.7,1.0,12.6,0.3,0.0,229.0,13.3,48.2,1015.3,324.0
2021-05-04,10.8,7.0,13.6,0.3,0.0,228.0,32.8,90.7,998.7,246.0
2021-05-05,7.3,5.4,10.7,1.8,0.0,261.0,23.0,61.2,1003.8,342.0
2021-05-06,7.1,4.5,11.8,3.2,0.0,252.0,11.2,38.9,1004.3,198.0
2021-05-07,6.9,3.2,12.1,2.9,0.0,272.0,11.2,40.7,1012.0,342.0
2021-05-08,11.1,1.7,15.0,0.0,0.0,180.0,11.9,42.5,1011.2,174.0
2021-05-09,19.8,11.1,25.1,0.0,0.0,181.0,15.8,51.8,1001.0,642.0
2021-05-10,18.1,14.3,19.6,1.5,0.0,190.0,12.6,44.3,1003.1,36.0
2021-05-11,13.4,11.2,15.2,1.3,0.0,262.0,6.8,31.3,1006.2,30.0
2021-05-12,12.8,9.3,16.0,2.7,0.0,259.0,9.0,31.3,1008.5,360.0
2021-05-13,12.1,5.2,18.1,0.0,0.0,204.0,7.9,33.5,1004.9,432.0
2021-05-14,11.5,7.2,16.2,3.0,0.0,225.0,6.8,27.7,1005.1,264.0
2021-05-15,11.2,7.9,13.2,1.7,0.0,211.0,10.8,38.9,1001.6,78.0
2021-05-16,11.0,8.0,15.5,8.7,0.0,227.0,12.2,57.2,999.2,330.0
2021-05-17,11.3,9.1,14.4,2.9,0.0,244.0,16.6,57.2,1002.1,222.0
2021-05-18,11.2,8.5,15.1,2.0,0.0,261.0,13.3,40.7,1010.3,252.0
2021-05-19,11.2,7.6,15.1,0.1,,263.0,13.0,42.5,1014.3,342.0
2021-05-20,12.8,7.8,16.6,0.0,0.0,247.0,10.1,31.3,1015.7,222.0
2021-05-21,13.7,11.2,15.8,1.9,0.0,223.0,20.2,76.0,1002.7,456.0
2021-05-22,10.9,9.1,13.1,0.4,0.0,231.0,22.0,76.0,1002.8,66.0
2021-05-23,12.0,8.4,14.8,0.0,,233.0,17.3,53.6,1010.7,300.0
2021-05-24,12.8,10.0,15.7,0.2,0.0,186.0,15.8,53.6,1006.7,174.0
2021-05-25,9.4,7.3,13.1,7.1,0.0,239.0,18.4,44.3,1010.8,96.0
2021-05-26,10.2,8.1,13.4,3.5,0.0,240.0,13.0,53.6,1010.2,72.0
2021-05-27,10.9,8.8,14.2,1.4,0.0,278.0,19.1,48.2,1015.7,6.0
2021-05-28,12.4,5.3,17.5,0.0,0.0,4.0,5.8,20.5,1021.0,606.0
2021-05-29,13.0,8.1,17.5,0.0,0.0,30.0,7.6,35.3,1022.8,852.0
2021-05-30,14.8,6.9,20.4,0.0,0.0,76.0,7.2,38.9,1023.2,864.0
2021-05-31,16.7,9.2,21.6,0.0,0.0,100.0,4.7,22.3,1018.6,822.0
2021-06-01,17.9,8.2,23.2,0.0,0.0,113.0,9.4,42.5,1014.0,894.0
2021-06-02,20.0,9.2,26.6,0.5,0.0,147.0,9.7,38.9,1012.1,780.0
2021-06-03,19.3,15.9,24.5,5.4,0.0,198.0,5.0,20.5,1016.6,108.0
2021-06-04,19.7,14.6,24.5,6.9,0.0,128.0,5.0,35.3,1017.3,186.0
2021-06-05,16.5,15.7,21.8,0.0,0.0,276.0,13.3,37.1,1018.2,0.0
2021-06-06,15.4,11.7,18.5,0.0,0.0,312.0,9.7,27.7,1020.8,0.0
2021-06-07,16.7,13.3,20.1,0.0,0.0,351.0,8.3,22.3,1020.5,6.0
2021-06-08,18.3,12.3,22.7,0.0,0.0,349.0,5.8,20.5,1019.9,288.0
2021-06-09,19.8,12.6,24.7,0.0,0.0,302.0,5.4,22.3,1018.8,738.0
2021-06-10,21.0,12.8,26.3,0.0,0.0,258.0,7.6,29.5,1018.0,858.0
2021-06-11,21.4,15.4,27.0,0.0,0.0,289.0,10.8,37.1,1016.6,828.0
2021-06-12,18.7,15.9,23.0,0.0,0.0,288.0,16.6,44.3,1018.5,462.0
2021-06-13,16.4,9.6,22.8,0.0,0.0,2.0,6.1,22.3,1024.0,858.0
2021-06-14,20.2,11.2,29.3,0.0,0.0,182.0,6.5,22.3,1018.1,894.0
2021-06-15,21.0,15.3,26.8,0.0,0.0,348.0,10.1,29.5,1016.6,804.0
2021-06-16,24.1,16.0,31.8,0.0,0.0,146.0,6.1,27.7,1010.8,804.0
2021-06-17,27.0,19.1,34.8,0.0,0.0,187.0,9.4,25.9,1008.1,762.0
2021-06-18,26.6,21.5,31.0,0.0,0.0,213.0,8.6,35.3,1009.4,612.0
2021-06-19,24.1,19.4,30.9,23.6,0.0,231.0,9.0,48.2,1009.8,690.0
2021-06-20,22.4,20.7,27.5,0.5,0.0,226.0,11.2,38.9,1005.0,480.0
2021-06-21,17.5,15.6,22.1,0.4,0.0,340.0,13.0,38.9,1005.5,30.0
2021-06-22,14.1,12.4,18.3,11.3,0.0,11.0,11.2,25.9,1013.1,0.0
2021-06-23,14.9,12.6,19.6,0.1,0.0,351.0,9.4,22.3,1017.3,108.0
2021-06-24,16.4,12.7,20.6,1.8,0.0,335.0,9.4,29.5,1016.6,36.0
2021-06-25,18.1,13.4,22.3,0.0,0.0,280.0,8.3,27.7,1015.7,756.0
2021-06-26,19.4,12.4,24.2,0.0,0.0,134.0,4.7,22.3,1015.3,708.0
2021-06-27,20.0,13.4,26.4,5.0,0.0,114.0,7.2,31.3,1012.4,396.0
2021-06-28,20.9,15.8,26.8,1.2,0.0,187.0,7.2,37.1,1010.7,402.0
2021-06-29,19.1,17.4,24.6,13.4,0.0,274.0,11.5,53.6,1008.8,330.0
2021-06-30,15.5,14.1,18.7,0.2,0.0,277.0,14.4,37.1,1009.5,96.0
2021-07-01,13.7,12.5,16.3,2.2,0.0,274.0,13.3,38.9,1013.6,0.0
2021-07-02,17.1,11.8,21.3,0.0,0.0,263.0,7.2,24.1,1014.8,654.0
2021-07-03,19.1,12.6,25.3,0.0,0.0,210.0,6.5,35.3,1012.2,420.0
2021-07-04,17.6,16.1,22.1,32.2,0.0,224.0,6.5,53.6,1007.7,192.0
2021-07-05,17.0,14.6,19.9,1.6,0.0,183.0,6.8,33.5,1006.2,54.0
2021-07-06,19.0,15.3,22.1,0.6,0.0,199.0,13.3,46.4,1005.0,258.0
2021-07-07,18.8,12.7,22.5,0.0,0.0,216.0,9.7,29.5,1012.9,354.0
2021-07-08,17.3,13.0,22.5,2.5,0.0,271.0,5.0,18.4,1017.6,24.0
2021-07-09,17.6,14.2,22.0,2.5,0.0,288.0,10.1,27.7,1018.5,24.0
2021-07-10,18.0,13.4,22.7,15.8,,194.0,5.8,51.8,1013.9,48.0
2021-07-11,18.1,14.6,21.8,0.0,0.0,299.0,6.1,22.3,1013.5,192.0
2021-07-12,19.5,13.3,23.0,12.5,0.0,127.0,8.3,31.3,1008.4,402.0
2021-07-13,18.7,16.7,21.2,15.4,0.0,320.0,7.6,24.1,1006.4,0.0
2021-07-14,17.3,16.9,18.9,89.0,0.0,322.0,12.6,42.5,1006.1,0.0
2021-07-15,18.4,15.8,23.5,0.0,0.0,3.0,7.2,33.5,1011.2,54.0
2021-07-16,17.2,15.3,20.4,0.0,0.0,325.0,11.9,29.5,1019.2,0.0
2021-07-17,19.8,15.5,24.4,0.0,0.0,332.0,11.5,29.5,1021.6,480.0
2021-07-18,20.7,13.8,25.5,0.0,0.0,332.0,11.2,55.4,1020.3,792.0
2021-07-19,18.0,14.1,22.1,0.0,0.0,351.0,9.0,27.7,1018.8,204.0
2021-07-20,17.4,11.2,20.7,0.0,0.0,343.0,7.9,29.5,1018.3,792.0
2021-07-21,18.0,11.4,23.1,0.0,0.0,78.0,6.1,24.1,1020.2,792.0
2021-07-22,19.3,13.6,23.5,0.0,0.0,302.0,5.8,20.5,1018.5,474.0
2021-07-23,19.6,12.3,24.5,0.0,0.0,351.0,6.5,24.1,1013.6,804.0
2021-07-24,18.0,14.3,22.5,2.4,0.0,137.0,5.0,24.1,1006.8,12.0
2021-07-25,20.7,13.4,25.1,0.0,0.0,202.0,8.3,37.1,1005.9,474.0
2021-07-26,20.0,15.7,24.0,0.6,0.0,198.0,11.5,51.8,1007.9,330.0
2021-07-27,18.7,15.3,23.3,2.8,0.0,213.0,9.4,35.3,1009.4,168.0
2021-07-28,18.9,14.3,22.4,0.6,0.0,218.0,15.5,50.0,1008.3,258.0
2021-07-29,17.8,15.3,20.3,0.0,0.0,236.0,18.4,50.0,1009.6,318.0
2021-07-30,19.4,13.6,25.7,0.3,0.0,216.0,14.8,50.0,1006.0,420.0
2021-07-31,18.2,15.1,20.4,0.0,0.0,247.0,21.6,55.4,1006.4,396.0
2021-08-01,16.8,13.4,20.4,2.0,0.0,265.0,14.0,48.2,1007.9,378.0
2021-08-02,15.4,13.4,18.6,11.0,0.0,294.0,7.9,29.5,1011.6,192.0
2021-08-03,14.7,10.7,17.4,2.9,0.0,341.0,6.8,24.1,1010.4,30.0
2021-08-04,16.2,11.5,20.7,1.1,0.0,335.0,5.8,31.3,1010.3,294.0
2021-08-05,18.2,12.5,21.5,1.5,0.0,209.0,5.8,29.5,1005.8,342.0
2021-08-06,18.5,16.0,21.6,0.1,0.0,212.0,12.6,57.2,1001.6,60.0
2021-08-07,17.8,15.0,21.8,0.5,0.0,205.0,11.2,40.7,1000.8,138.0
2021-08-08,17.4,14.1,20.0,0.0,0.0,226.0,18.0,55.4,1007.7,354.0
2021-08-09,17.0,14.2,20.6,1.3,0.0,216.0,11.2,44.3,1013.7,192.0
2021-08-10,17.9,14.5,22.0,7.5,0.0,241.0,10.1,40.7,1014.4,354.0
2021-08-11,18.7,12.2,23.5,0.0,0.0,252.0,4.3,22.3,1016.7,408.0
2021-08-12,20.4,13.0,25.3,0.0,0.0,164.0,4.0,18.4,1016.8,450.0
2021-08-13,20.2,16.3,25.2,0.0,0.0,255.0,11.2,35.3,1018.6,450.0
2021-08-14,19.6,12.7,24.5,0.0,,260.0,8.3,35.3,1017.8,756.0
2021-08-15,21.4,13.4,27.1,0.0,,238.0,9.7,40.7,1011.1,558.0
2021-08-16,15.6,12.4,20.4,4.3,0.0,270.0,24.8,53.6,1010.9,54.0
2021-08-17,14.0,11.6,17.3,4.0,0.0,259.0,19.8,50.0,1015.4,18.0
2021-08-18,16.5,14.2,20.8,0.7,0.0,262.0,15.1,37.1,1013.4,0.0
2021-08-19,17.4,16.0,20.6,0.0,0.0,256.0,15.5,38.9,1012.2,18.0
2021-08-20,17.6,13.4,22.4,0.2,0.0,250.0,7.9,31.3,1014.6,162.0
2021-08-21,19.5,13.3,25.6,3.3,0.0,179.0,6.1,22.3,1014.4,474.0
2021-08-22,18.4,16.1,20.8,1.7,,252.0,15.5,44.3,1013.7,234.0
2021-08-23,17.1,13.6,21.4,0.3,0.0,346.0,8.3,35.3,1019.7,78.0
2021-08-24,16.3,10.6,21.2,0.0,0.0,32.0,10.1,38.9,1023.5,732.0
2021-08-25,15.9,10.5,21.0,0.5,0.0,347.0,7.2,25.9,1019.2,696.0
2021-08-26,15.5,14.0,18.3,9.1,0.0,310.0,17.3,40.7,1012.7,192.0
2021-08-27,14.3,11.1,17.5,16.0,0.0,308.0,13.3,61.2,1014.9,90.0
2021-08-28,15.5,12.1,18.2,4.8,,326.0,15.1,38.9,1016.4,126.0
2021-08-29,14.8,13.0,16.7,7.4,,321.0,14.0,38.9,1016.1,0.0
2021-08-30,16.6,14.3,19.5,0.1,0.0,347.0,10.4,27.7,1017.0,48.0
2021-08-31,15.4,11.2,20.3,0.0,0.0,340.0,9.7,31.3,1022.1,198.0
2021-09-01,14.5,13.5,17.3,0.0,0.0,344.0,6.5,16.6,1025.5,0.0
2021-09-02,15.3,11.0,21.8,0.0,0.0,62.0,5.0,24.1,1023.1,690.0
2021-09-03,17.2,10.2,23.8,0.0,0.0,91.0,5.0,29.5,1017.5,738.0
2021-09-04,16.6,12.2,23.0,0.0,,36.0,6.1,22.3,1015.2,714.0
2021-09-05,17.8,11.5,24.3,0.0,,74.0,4.3,16.6,1017.6,588.0
2021-09-06,17.9,12.5,24.5,0.0,0.0,319.0,4.0,22.3,1020.9,582.0
2021-09-07,18.1,13.0,24.5,0.0,0.0,117.0,4.7,24.1,1020.2,498.0
2021-09-08,19.5,13.2,25.5,0.0,0.0,119.0,8.3,35.3,1013.3,714.0
2021-09-09,20.2,14.5,26.9,1.7,0.0,184.0,6.5,27.7,1008.4,372.0
2021-09-10,19.7,16.9,24.1,1.5,0.0,215.0,7.2,35.3,1010.9,138.0
2021-09-11,18.6,15.3,21.3,0.0,0.0,249.0,11.2,27.7,1014.7,168.0
2021-09-12,16.7,12.4,20.7,0.0,0.0,266.0,7.6,29.5,1015.7,432.0
2021-09-13,15.5,11.2,20.7,0.0,0.0,46.0,5.0,18.4,1015.5,342.0
2021-09-14,18.1,11.4,25.9,2.7,0.0,147.0,6.8,25.9,1011.3,306.0
2021-09-15,19.0,16.5,22.2,4.1,0.0,243.0,10.1,37.1,1009.1,6.0
2021-09-16,16.0,12.5,19.0,0.0,0.0,286.0,10.8,33.5,1014.4,324.0
2021-09-17,16.2,11.0,20.7,0.0,0.0,280.0,4.7,16.6,1013.8,168.0
2021-09-18,15.6,11.1,20.8,0.0,0.0,100.0,4.0,16.6,1013.5,498.0
2021-09-19,14.8,10.7,19.8,0.0,,113.0,8.3,24.1,1012.4,456.0
2021-09-20,12.9,11.5,16.6,0.0,0.0,74.0,7.6,22.3,1017.8,300.0
2021-09-21,13.3,11.2,17.0,0.0,0.0,37.0,5.4,20.5,1026.5,546.0
2021-09-22,12.2,7.5,18.9,0.0,0.0,200.0,3.2,14.8,1025.6,558.0
2021-09-23,15.2,8.9,20.6,0.0,0.0,247.0,15.5,46.4,1016.9,558.0
2021-09-24,17.2,13.0,20.6,0.0,0.0,252.0,14.0,38.9,1014.3,330.0
2021-09-25,16.5,11.7,22.5,0.7,,159.0,6.5,20.5,1013.4,606.0
2021-09-26,17.9,14.4,22.9,0.0,0.0,183.0,6.8,22.3,1012.7,216.0
2021-09-27,15.8,11.6,20.8,1.2,0.0,209.0,9.7,64.8,1013.8,90.0
2021-09-28,13.4,9.0,18.3,0.0,0.0,198.0,7.9,25.9,1019.3,378.0
2021-09-29,11.6,10.4,14.0,2.8,0.0,225.0,16.2,70.2,1016.0,252.0
2021-09-30,11.4,8.5,15.2,0.0,0.0,230.0,11.5,38.9,1022.6,300.0
2021-10-01,13.1,8.8,18.9,2.3,0.0,177.0,11.5,37.1,1014.4,402.0
